"BehaviorSpace results (NetLogo 6.1.1)"
"Dancing Game - Original.nlogo"
"experiment"
"05/06/2021 21:09:26:704 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","swap?","initial-burgandy","memory_size","type-players?","wipe?","learning?","memory_learning?","weighted_learning?","initial-light-blue","mutation_rate","leader-payoff","leader-follower-game?","gendered_learning?","gendered_pairing?","initial-orange","[step]","global-average-payoff","count turtles with [strategy = 0 and sex = 0]","count turtles with [strategy = 1 and sex = 0]","count turtles with [strategy = 2 and sex = 0]","count turtles with [strategy = 3 and sex = 0]","count turtles with [strategy = 0 and sex = 1]","count turtles with [strategy = 1 and sex = 1]","count turtles with [strategy = 2 and sex = 1]","count turtles with [strategy = 3 and sex = 1]"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","72","0.6799320067993201","19","7","0","24","6","17","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","73","0.64993500649935","16","4","0","30","5","18","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","74","0.57994200579942","15","5","0","30","5","16","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","75","0.66993300669933","15","4","0","31","4","19","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","76","0.51994800519948","13","6","0","31","4","17","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","77","0.56994300569943","16","8","0","26","3","17","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","78","0.6899310068993101","19","5","0","26","2","18","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","79","0.64993500649935","16","5","0","29","1","20","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","80","0.65993400659934","18","4","0","28","3","19","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","81","0.7499250074992501","18","6","0","26","1","17","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","82","0.65993400659934","17","8","0","25","3","15","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","83","0.66993300669933","17","3","0","30","4","17","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","84","0.7499250074992501","16","4","0","30","4","17","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","85","0.64993500649935","15","1","0","34","3","16","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","86","0.7499250074992501","14","2","0","34","4","15","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","87","0.7599240075992401","15","5","0","30","4","14","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","88","0.5999400059994","17","7","0","26","6","13","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","89","0.60993900609939","17","7","0","26","6","12","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","90","0.49995000499950004","16","10","0","24","6","15","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","91","0.5999400059994","17","9","0","24","7","16","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","92","0.55994400559944","19","8","0","23","7","16","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","93","0.62993700629937","18","5","0","27","6","19","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","94","0.6999300069993001","17","6","0","27","6","20","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","95","0.6799320067993201","16","9","0","25","10","18","0","22"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","96","0.55994400559944","17","12","0","21","7","21","0","22"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","97","0.55994400559944","14","9","0","27","12","19","0","19"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","98","0.52994700529947","13","9","0","28","10","20","0","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","99","0.5999400059994","16","8","0","26","9","22","0","19"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","100","0.61993800619938","19","11","0","20","8","17","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","101","0.62993700629937","18","11","0","21","8","19","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","102","0.61993800619938","19","9","0","22","5","24","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","103","0.61993800619938","20","10","0","20","6","23","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","104","0.6999300069993001","18","7","0","25","5","21","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","105","0.66993300669933","15","7","0","28","5","22","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","106","0.66993300669933","15","5","0","30","6","19","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","107","0.60993900609939","13","5","0","32","7","15","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","108","0.5999400059994","14","2","0","34","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","109","0.7199280071992801","15","1","0","34","5","15","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","110","0.66993300669933","14","1","0","35","2","15","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","111","0.61993800619938","17","6","0","27","5","14","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","112","0.60993900609939","14","4","0","32","5","12","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","113","0.5999400059994","14","5","0","31","2","11","0","37"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","114","0.6999300069993001","13","3","0","34","1","13","0","36"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","115","0.60993900609939","13","4","0","33","0","12","0","38"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","116","0.7599240075992401","14","2","0","34","1","12","0","37"
